Size,Scalar,Vector
2,0.0,3.0e-7
2,0.0,1.0e-7
2,1.0e-7,0.0
2,0.0,1.0e-7
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,1.0e-7,0.0
2,1.0e-7,1.0e-7
2,0.0,0.0
7,0.0,1.0e-7
7,0.0,1.0e-7
7,1.0e-7,4.0e-7
7,0.0,1.0e-7
7,1.0e-7,1.0e-7
7,1.0e-7,1.0e-7
7,1.0e-7,1.0e-7
7,1.0e-7,1.0e-7
7,1.0e-7,1.0e-7
7,0.0,1.0e-7
12,1.0e-7,1.0e-7
12,1.0e-7,2.0e-7
12,1.0e-7,1.0e-7
12,0.0,1.0e-7
12,0.0,2.0e-7
12,1.0e-7,1.0e-7
12,1.0e-7,1.0e-7
12,0.0,2.0e-7
12,1.0e-7,1.0e-7
12,1.0e-7,1.0e-7
17,0.0,1.0e-7
17,1.0e-7,1.0e-7
17,1.0e-7,2.0e-7
17,0.0,3.0e-7
17,0.0,1.0e-7
17,0.0,2.0e-7
17,1.0e-7,1.0e-7
17,0.0,1.0e-7
17,1.0e-7,2.0e-7
17,1.0e-7,2.0e-7
22,1.0e-7,2.0e-7
22,1.0e-7,2.0e-7
22,1.0e-7,2.0e-7
22,1.0e-7,2.0e-7
22,0.0,2.0e-7
22,0.0,2.0e-7
22,1.0e-7,2.0e-7
22,1.0e-7,3.0e-7
22,0.0,3.0e-7
22,0.0,2.0e-7
27,0.0,3.0e-7
27,0.0,3.0e-7
27,0.0,7.0e-7
27,1.0e-7,4.0e-7
27,1.0e-7,6.0e-7
27,0.0,6.0e-7
27,1.0e-7,3.0e-7
27,0.0,8.0e-7
27,1.0e-7,4.0e-7
27,0.0,4.0e-7
32,1.0e-7,3.0e-7
32,1.0e-7,3.0e-7
32,0.0,3.0e-7
32,1.0e-7,3.0e-7
32,0.0,3.0e-7
32,1.0e-7,3.0e-7
32,0.0,3.0e-7
32,0.0,3.0e-7
32,0.0,3.0e-7
32,0.0,6.0e-7
37,0.0,4.0e-7
37,0.0,3.0e-7
37,0.0,4.0e-7
37,0.0,4.0e-7
37,1.0e-7,4.0e-7
37,0.0,5.0e-7
37,1.0e-7,5.0e-7
37,1.0e-7,5.0e-7
37,1.0e-7,5.0e-7
37,1.0e-7,2.3e-6
42,1.0e-7,5.0e-7
42,1.0e-7,5.0e-7
42,0.0,5.0e-7
42,0.0,5.0e-7
42,1.0e-7,5.0e-7
42,1.0e-7,5.0e-7
42,0.0,5.0e-7
42,0.0,8.0e-7
42,0.0,5.0e-7
42,0.0,5.0e-7
47,1.0e-7,6.0e-7
47,0.0,7.0e-7
47,0.0,7.0e-7
47,0.0,9.0e-7
47,1.0e-7,6.0e-7
47,0.0,5.0e-7
47,1.0e-7,8.0e-7
47,0.0,6.0e-7
47,1.0e-7,6.0e-7
47,1.0e-7,9.0e-7
52,1.0e-7,7.0e-7
52,1.0e-7,7.0e-7
52,1.0e-7,6.0e-7
52,1.0e-7,9.0e-7
52,0.0,7.0e-7
52,0.0,8.0e-7
52,1.0e-7,6.0e-7
52,1.0e-7,7.0e-7
52,0.0,7.0e-7
52,1.0e-7,7.0e-7
57,1.0e-7,8.0e-7
57,0.0,7.0e-7
57,0.0,8.0e-7
57,0.0,1.1e-6
57,0.0,8.0e-7
57,0.0,8.0e-7
57,0.0,1.0e-6
57,1.0e-7,8.0e-7
57,0.0,1.0e-6
57,1.0e-7,1.0e-6
62,1.0e-7,9.0e-7
62,0.0,8.0e-7
62,1.0e-7,9.0e-7
62,0.0,2.0e-6
62,0.0,9.0e-7
62,0.0,9.0e-7
62,0.0,9.0e-7
62,0.0,9.0e-7
62,0.0,8.0e-7
62,1.0e-7,9.0e-7
67,0.0,1.1e-6
67,1.0e-7,1.2e-6
67,0.0,1.0e-6
67,1.0e-7,1.3e-6
67,1.0e-7,1.0e-6
67,1.0e-7,1.2e-6
67,0.0,1.4e-6
67,0.0,1.1e-6
67,1.0e-7,1.0e-6
67,1.0e-7,1.4e-6
72,3.0e-7,1.8e-6
72,2.0e-7,1.7e-6
72,0.0,1.2e-6
72,0.0,1.1e-6
72,0.0,1.1e-6
72,1.0e-7,1.2e-6
72,0.0,1.1e-6
72,0.0,1.1e-6
72,0.0,1.2e-6
72,0.0,1.1e-6
77,0.0,1.3e-6
77,0.0,1.3e-6
77,1.0e-7,2.4e-6
77,2.0e-7,1.8e-6
77,1.0e-7,1.3e-6
77,0.0,1.4e-6
77,1.0e-7,1.9e-6
77,2.0e-7,1.7e-6
77,0.0,1.3e-6
77,1.0e-7,1.3e-6
82,1.0e-7,1.5e-6
82,1.0e-7,1.5e-6
82,0.0,1.4e-6
82,0.0,2.6e-6
82,1.0e-7,1.5e-6
82,0.0,1.4e-6
82,1.0e-7,1.5e-6
82,1.0e-7,1.5e-6
82,1.0e-7,1.5e-6
82,1.0e-7,1.5e-6
87,0.0,2.4e-6
87,1.0e-7,2.0e-6
87,1.0e-7,1.7e-6
87,1.0e-7,1.7e-6
87,0.0,1.6e-6
87,0.0,1.7e-6
87,0.0,2.0e-6
87,0.0,1.6e-6
87,0.0,1.6e-6
87,0.0,1.6e-6
92,1.0e-7,1.8e-6
92,1.0e-7,2.0e-6
92,0.0,1.8e-6
92,1.0e-7,2.0e-6
92,1.0e-7,2.9e-6
92,1.0e-7,1.9e-6
92,0.0,2.0e-6
92,1.0e-7,1.9e-6
92,1.0e-7,2.6e-6
92,0.0,1.8e-6
97,1.0e-7,2.2e-6
97,0.0,2.0e-6
97,0.0,2.1e-6
97,1.0e-7,2.2e-6
97,1.0e-7,2.0e-6
97,1.0e-7,2.4e-6
97,0.0,2.1e-6
97,1.0e-7,2.5e-6
97,1.0e-7,2.0e-6
97,0.0,2.2e-6
102,0.0,2.3e-6
102,1.0e-7,2.4e-6
102,1.0e-7,2.3e-6
102,0.0,2.3e-6
102,1.0e-7,2.6e-6
102,0.0,2.3e-6
102,1.0e-7,2.3e-6
102,1.0e-7,2.7e-6
102,1.0e-7,2.3e-6
102,1.0e-7,2.3e-6
