size,naive,better,blas
5,0.000000, 0.000000, 0.000003
5,0.000000, 0.000000, 0.000000
5,0.000000, 0.000000, 0.000000
5,0.000000, 0.000000, 0.000000
5,0.000000, 0.000000, 0.000000
5,0.000000, 0.000000, 0.000000
5,0.000000, 0.000000, 0.000000
5,0.000000, 0.000000, 0.000000
5,0.000000, 0.000000, 0.000000
5,0.000000, 0.000000, 0.000000
55,0.000115, 0.000112, 0.000010
55,0.000110, 0.000113, 0.000010
55,0.000130, 0.000109, 0.000010
55,0.000110, 0.000108, 0.000010
55,0.000108, 0.000114, 0.000010
55,0.000110, 0.000109, 0.000011
55,0.000115, 0.000110, 0.000010
55,0.000124, 0.000108, 0.000010
55,0.000195, 0.000108, 0.000010
55,0.000113, 0.000119, 0.000010
105,0.000792, 0.000787, 0.000076
105,0.000793, 0.000776, 0.000074
105,0.000775, 0.000794, 0.000076
105,0.000802, 0.000778, 0.000074
105,0.000783, 0.000779, 0.000080
105,0.000784, 0.000779, 0.000074
105,0.000797, 0.000780, 0.000077
105,0.000789, 0.000783, 0.000076
105,0.000801, 0.000778, 0.000075
105,0.000775, 0.000788, 0.000077
155,0.002505, 0.002497, 0.000242
155,0.002529, 0.002657, 0.000233
155,0.002646, 0.902734, 0.000235
155,0.002613, 0.002503, 0.000234
155,0.002512, 0.002633, 0.000233
155,0.002523, 0.002582, 0.000401
155,0.002620, 0.002674, 0.000292
155,0.003114, 0.003196, 0.000264
155,0.003109, 0.002905, 0.000252
155,0.003041, 0.002745, 0.000376
205,0.006374, 0.005850, 0.000613
205,0.007843, 0.007046, 0.000554
205,0.007650, 0.006523, 0.000689
205,0.006155, 0.905731, 0.000537
205,0.005920, 0.005963, 0.000667
205,0.006355, 0.006253, 0.000528
205,0.006272, 0.006106, 0.000556
205,0.006437, 0.005809, 0.000677
205,0.005933, 0.005919, 0.000622
205,0.005889, 0.005807, 0.000552
255,0.012750, 0.911325, 0.001017
255,0.012571, 0.011397, 0.001078
255,0.013837, 0.011667, 0.001045
255,0.012994, 0.011184, 0.001028
255,0.012479, 0.911322, 0.001093
255,0.013809, 0.011292, 0.001033
255,0.012856, 0.011272, 0.001030
255,0.012301, 0.011250, 0.001026
255,0.012330, 0.911433, 0.001042
255,0.012499, 0.011201, 0.001063
305,0.019972, 0.019592, 0.001768
305,0.019199, 0.920195, 0.001845
305,0.019715, 0.020074, 0.001744
305,0.021527, 0.920667, 0.001732
305,0.020299, 0.019384, 0.001727
305,0.019371, 0.019615, 0.001747
305,0.919699, 0.019207, 0.001776
305,0.020751, 0.019111, 0.001775
305,0.019688, 0.918500, 0.001591
305,0.019023, 0.015445, 0.001333
355,0.022656, 0.019877, 0.001867
355,0.918616, 0.019049, 0.001670
355,0.019504, 0.017870, 0.001650
355,0.017857, 0.918326, 0.001635
355,0.017970, 0.017943, 0.001620
355,0.018548, 0.018649, 0.003177
355,0.918874, 0.018238, 0.001632
355,0.018320, 0.018208, 0.001655
355,0.017961, 0.917829, 0.001680
355,0.018301, 0.017819, 0.001631
405,0.027257, 0.926846, 0.002418
405,0.029333, 0.027717, 0.002564
405,0.027719, 0.928347, 0.002518
405,0.027901, 0.027251, 0.002474
405,0.927805, 0.026581, 0.002574
405,0.027310, 0.027019, 0.002404
405,0.026848, 0.026883, 0.002412
405,0.027502, 0.927269, 0.002537
405,0.027075, 0.027064, 0.002572
405,0.027093, 0.926468, 0.002441
455,0.040326, 0.937919, 0.003608
455,0.038222, 0.038970, 0.003397
455,0.938354, 0.038135, 0.003338
455,0.938132, 0.038146, 0.003402
455,0.038912, 0.938110, 0.003418
455,0.038903, 0.938298, 0.003434
455,0.044082, 0.937751, 0.003392
455,0.038745, 0.038353, 0.003423
455,0.938547, 0.038191, 0.003682
455,0.938871, 0.037644, 0.003596
505,0.954697, 0.051810, 0.004655
505,0.955028, 0.053639, 0.004900
505,0.955220, 0.052290, 0.004726
505,0.955664, 0.052533, 0.904638
505,0.056376, 0.952058, 0.004796
505,0.057343, 0.951898, 0.004774
505,0.059482, 0.952298, 0.004574
505,0.956248, 0.051590, 0.004660
505,0.956525, 0.051742, 0.005067
505,0.955908, 0.052210, 0.004900
